atm_id,city,street,house,full_address,address,lat,lon
1,Астана,ул. Шевченко,1,"Астана, ул. Шевченко, 1","Астана, ул. Шевченко 1, Kazakhstan",51.161063,71.404855
2,Астана,пр-т Достык,9,"Астана, пр-т Достык, 9","Астана, пр-т Достык 9, Kazakhstan",51.127992,71.425374
3,Астана,ул. Абая,94а,"Астана, ул. Абая, 94а","Астана, ул. Абая 94а, Kazakhstan",51.163998,71.468778
4,Астана,пр-т Момышулы,10,"Астана, пр-т Момышулы, 10","Астана, пр-т Момышулы 10, Kazakhstan",51.139166,71.476464
5,Астана,Пр. Туран,37,"Астана, Пр. Туран, 37","Астана, Пр. Туран 37, Kazakhstan",51.132528,71.40356
6,Астана,пр. Туран,6/1,"Астана, пр. Туран, 6/1","Астана, пр. Туран 6/1, Kazakhstan",51.152065,71.41895
7,Астана,проспект Туран,20,"Астана, проспект Туран, 20","Астана, проспект Туран 20, Kazakhstan",51.141571,71.411734
8,Астана ул.Е495 угол ул.Мангилик Ел,,,Астана ул.Е495 угол ул.Мангилик Ел,"Астана ул.Е495 угол ул.Мангилик Ел, nan nan, Kazakhstan",51.110301,71.432326
9,Астана,ул. Бейбитшилик,25,"Астана, ул. Бейбитшилик, 25","Астана, ул. Бейбитшилик 25, Kazakhstan",51.172161,71.418919
10,Астана,ул. Алихана Бокейханова,12,"Астана, ул. Алихана Бокейханова, 12","Астана, ул. Алихана Бокейханова 12, Kazakhstan",50.272619,57.231342
11,Астана,ул. Хусейн Бен Талал,7,"Астана, ул. Хусейн Бен Талал, 7","Астана, ул. Хусейн Бен Талал 7, Kazakhstan",51.08152,71.415393
12,Астана,ул.Кунаева,10,"Астана, ул.Кунаева, 10","Астана, ул.Кунаева 10, Kazakhstan",51.131064,71.422951
13,Астана,ул. Сыганак,17,"Астана, ул. Сыганак, 17","Астана, ул. Сыганак 17, Kazakhstan",51.130808,71.391416
14,Астана,Ул. Жубанова,7,"Астана, Ул. Жубанова, 7","Астана, Ул. Жубанова 7, Kazakhstan",51.159775,71.457573
15,Астана,ул. Тауелсиздик,50,"Астана, ул. Тауелсиздик, 50","Астана, ул. Тауелсиздик 50, Kazakhstan",51.122562,71.473346
16,Астана,Ул. Кабанбай Батыра,21,"Астана, Ул. Кабанбай Батыра, 21","Астана, Ул. Кабанбай Батыра 21, Kazakhstan",51.128152,71.411581
17,Астана пр-т Туран 38 угол Керей и Жанибек,,,Астана пр-т Туран 38 угол Керей и Жанибек,"Астана пр-т Туран 38 угол Керей и Жанибек, nan nan, Kazakhstan",51.118652,71.403405
18,Астана,пр. Туран,65,"Астана, пр. Туран, 65","Астана, пр. Туран 65, Kazakhstan",51.096748,71.39191
19,Астана,пр. Кабанбай батыра 62,пр. Кабанбай батыра 62,"Астана, пр. Кабанбай батыра 62","Астана, пр. Кабанбай батыра 62 пр. Кабанбай батыра 62, Kazakhstan",51.089347,71.405441
20,Астана,ул. Достык 16,уг. ул. Туркестан,"Астана, ул. Достык 16, уг. ул. Туркестан","Астана, ул. Достык 16 уг. ул. Туркестан, Kazakhstan",51.124932,71.432105
21,Астана,ул. Биржан Сал,2,"Астана, ул. Биржан Сал, 2","Астана, ул. Биржан Сал 2, Kazakhstan",51.192052,71.407436
22,Астана,ул. Достык,8/1,"Астана, ул. Достык, 8/1","Астана, ул. Достык 8/1, Kazakhstan",51.126256,71.418538
23,Астана,ул. Сыганак,16/5,"Астана, ул. Сыганак, 16/5","Астана, ул. Сыганак 16/5, Kazakhstan",51.129675,71.378175
24,Астана,ул. Жылайири,2,"Астана, ул. Жылайири, 2","Астана, ул. Жылайири 2, Kazakhstan",51.141263,71.446215
25,Астана,пр. Кабанбай батыра,13,"Астана, пр. Кабанбай батыра, 13","Астана, пр. Кабанбай батыра 13, Kazakhstan",51.138884,71.41371
26,Астана,пр-т Абая 103,пр-т Абая 103,"Астана, пр-т Абая 103","Астана, пр-т Абая 103 пр-т Абая 103, Kazakhstan",51.164838,71.469181
27,Астана,Ул. Кунаева,12,"Астана, Ул. Кунаева, 12","Астана, Ул. Кунаева 12, Kazakhstan",51.130518,71.426346
28,Астана,ул.Тлендиева,15,"Астана, ул.Тлендиева, 15","Астана, ул.Тлендиева 15, Kazakhstan",51.179541,71.377303
29,Астана,пр-т Аблайхана,5,"Астана, пр-т Аблайхана, 5","Астана, пр-т Аблайхана 5, Kazakhstan",51.160106,71.473044
30,Астана,ул. Сейфуллина,47,"Астана, ул. Сейфуллина, 47","Астана, ул. Сейфуллина 47, Kazakhstan",51.173266,71.436377
31,Астана,проспект Достык,16,"Астана, проспект Достык, 16","Астана, проспект Достык 16, Kazakhstan",51.124932,71.432105
32,Астана,ул. Улы Дала,88,"Астана, ул. Улы Дала, 88","Астана, ул. Улы Дала 88, Kazakhstan",51.090754,71.456302
33,Астана,ул. Хусейн бен Талал,25,"Астана , ул. Хусейн бен Талал, 25","Астана, ул. Хусейн бен Талал 25, Kazakhstan",51.082208,71.407387
34,Астана,ул. А. Пушкина,37/2,"Астана, ул. А. Пушкина, 37/2","Астана, ул. А. Пушкина 37/2, Kazakhstan",51.170306,71.474929
35,Астана,ул. Алматы,3,"Астана , ул. Алматы, 3","Астана, ул. Алматы 3, Kazakhstan",51.11827,71.415972
36,Астана,ул. Достык,8а,"Астана, ул. Достык, 8а","Астана, ул. Достык 8а, Kazakhstan",51.126256,71.418538
37,Астана,Кургальджинское Шоссе,1,"Астана, Кургальджинское Шоссе, 1","Астана, Кургальджинское Шоссе 1, Kazakhstan",51.145294,71.413177
38,Астана,ул. Жирентаева,15А,"Астана, ул. Жирентаева, 15А","Астана, ул. Жирентаева 15А, Kazakhstan",51.152928,71.473684
39,Астана,пр. Туран,57,"Астана, пр. Туран, 57","Астана, пр. Туран 57, Kazakhstan",51.109172,71.395434
40,Астана,ул. Кабанбай батыра,6/1,"Астана, ул. Кабанбай батыра, 6/1","Астана, ул. Кабанбай батыра 6/1, Kazakhstan",51.1462,71.4234
41,Астана ул. Ивана Панфилова,4,4,"Астана ул. Ивана Панфилова, 4","Астана ул. Ивана Панфилова, 4 4, Kazakhstan",51.109036,71.457472
42,Астана,шоссе Кургальжинское,7,"Астана, шоссе Кургальжинское, 7","Астана, шоссе Кургальжинское 7, Kazakhstan",51.145956,71.402292
43,Астана пр-т Кабанбай батыра 62,,,Астана пр-т Кабанбай батыра 62,"Астана пр-т Кабанбай батыра 62, nan nan, Kazakhstan",51.089347,71.405441
44,Астана,шоссе Алаш,20А,"Астана, шоссе Алаш, 20А","Астана, шоссе Алаш 20А, Kazakhstan",51.189554,71.457522
45,Астана,ул. Ташенова,17,"Астана, ул. Ташенова, 17","Астана, ул. Ташенова 17, Kazakhstan",51.152782,71.44603
46,Астана,ул. Абая,47,"Астана, ул. Абая, 47","Астана, ул. Абая 47, Kazakhstan",51.170013,71.43067
47,Астана,ул. Куйши Дина,31,"Астана, ул. Куйши Дина, 31","Астана, ул. Куйши Дина 31, Kazakhstan",51.152313,71.485413
48,Астана,Ул. Кунаева,8,"Астана, Ул. Кунаева, 8","Астана, Ул. Кунаева 8, Kazakhstan",51.130284,71.423419
49,Астана,ул. Достык,8А,"Астана, ул. Достык, 8А","Астана, ул. Достык 8А, Kazakhstan",51.126256,71.418538
50,Астана,пр. Абылай-Хана,34,"Астана, пр. Абылай-Хана, 34","Астана, пр. Абылай-Хана 34, Kazakhstan",51.153698,71.485218
51,Астана,Ул. Ташенова,17,"Астана, Ул. Ташенова, 17","Астана, Ул. Ташенова 17, Kazakhstan",51.152782,71.44603
52,Астана,ул. Достык,13/3,"Астана, ул. Достык, 13/3","Астана, ул. Достык 13/3, Kazakhstan",51.125838,71.434493
53,Астана,ул.Петрова,24,"Астана, ул.Петрова, 24","Астана, ул.Петрова 24, Kazakhstan",51.148691,71.47272
54,Астана,ул. Сыганак,1Б,"Астана, ул. Сыганак, 1Б","Астана, ул. Сыганак 1Б, Kazakhstan",51.132704,71.366795
55,Астана,Ул. Е522,15,"Астана, Ул. Е522, 15","Астана, Ул. Е522 15, Kazakhstan",51.041188,71.438652
56,Астана,Ул. Достык 16,Уг. Ул. Туркестан,"Астана, Ул. Достык 16, Уг. Ул. Туркестан","Астана, Ул. Достык 16 Уг. Ул. Туркестан, Kazakhstan",51.124932,71.432105
57,Астана,ул. Кабанбай батыра,60/15,"Астана, ул. Кабанбай батыра, 60/15","Астана, ул. Кабанбай батыра 60/15, Kazakhstan",51.091709,71.408484
58,Акмолинская обл.,Целиноградский р-он,с. Красноярка,"Акмолинская обл., Целиноградский р-он, с. Красноярка","Акмолинская обл., Целиноградский р-он с. Красноярка, Kazakhstan",51.208297,70.861262
59,Астана,ул. Масаты,24,"Астана, ул. Масаты, 24","Астана, ул. Масаты 24, Kazakhstan",51.132557,71.51161
60,Астана,ул. Конституции,10,"Астана , ул. Конституции, 10","Астана, ул. Конституции 10, Kazakhstan",51.195686,71.397438
61,Астана просп. Кабанбай батыра,119,119,"Астана просп. Кабанбай батыра, 119","Астана просп. Кабанбай батыра, 119 119, Kazakhstan",51.02834,71.46366
62,Акмолинская обл.,"г. Косшы, ул. Республика",27,"Акмолинская обл., г. Косшы, ул. Республика, 27","Акмолинская обл., г. Косшы, ул. Республика 27, Kazakhstan",50.990352,71.367199
63,Астана,ул. Турана,36,"Астана, ул. Турана, 36","Астана, ул. Турана 36, Kazakhstan",51.120611,71.405006
64,Астана,Ул. Байтурсынова,2С,"Астана, Ул. Байтурсынова, 2С","Астана, Ул. Байтурсынова 2С, Kazakhstan",51.121718,71.482775
65,Астана,Ул. Бейбитшилик,25,"Астана, Ул. Бейбитшилик, 25","Астана, Ул. Бейбитшилик 25, Kazakhstan",51.172161,71.418919
66,Астана,ул. Достык,8/1,"Астана, ул. Достык, 8/1","Астана, ул. Достык 8/1, Kazakhstan",51.126256,71.418538
67,Астана,ул. Иманова,19,"Астана, ул. Иманова, 19","Астана, ул. Иманова 19, Kazakhstan",51.164812,71.44256
68,Астана,пр. Республики,45,"Астана, пр. Республики, 45","Астана, пр. Республики 45, Kazakhstan",51.174931,71.423814
69,Астана,ул. Женис,33,"Астана, ул. Женис, 33","Астана, ул. Женис 33, Kazakhstan",51.173941,71.41086
70,Астана,ул. Айтматова,44,"Астана, ул. Айтматова, 44","Астана, ул. Айтматова 44, Kazakhstan",51.148948,71.37053
71,Астана,ул. А91,16,"Астана, ул. А91, 16","Астана, ул. А91 16, Kazakhstan",51.1185,71.525769
72,Астана,ул. Е 10,17/10,"Астана, ул. Е 10, 17/10","Астана, ул. Е 10 17/10, Kazakhstan",51.131201,71.39261
